date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 4 nights in March 2017,Couple,"Reviewed March 25, 2017","We were in room 1831, we asked for a bottle of water on 23rd morning and had to call 5 times to get a bottle of water to have my medicine after more than hour waiting we got the water.realty disappointed about that",Very good”,Tayanie from Sri Lanka
Stayed 1 night in March 2017,Couple,"Reviewed March 12, 2017","So clean, staff are such a sweetheart, location location location, food is great. Mandarin chicken rice is a must try, room is spacious and bathroom is very nice. We definitely coming back, definitely!",Exceptional”,Tamara from Indonesia
Stayed 3 nights in January 2017,Family with young children,"Reviewed March 10, 2017","I was suggested to visit the SOS clinic in Singapore to consult with the paediatrician neurologist. The closest hotel is the Mandarin Orchard, as it is located just across the clinic.  The pleasant unique thing is, this hotel provide cell phone for the guest during their stay in singapore.  I believe this is a very thoughtful details that a hotel could offer.  I can make local and international call for free with that cell phone, browsing and not to forget that the smart phone was also completed with all the things you can explore in singapore, what's happening and even it shows the price and reservation link...what a nice surprise.  Thank you Mandarin...I really feel the thoughtful service you have offered.",Medical Evacuation”,Inge from Indonesia
Stayed 1 night in March 2017,Business traveler,"Reviewed March 10, 2017","This is my one of my favourite hotel in singapore. always stay here when i come to singapore.Nice hotel,friendly staff,clean and above all the location is perfect.plenty things to eat around the hotel.",Satisfied”,sastrawan from Indonesia
Stayed 3 nights in February 2017,Family with young children,"Reviewed March 05, 2017","My family and I had a pleasant stay during our recent family trip to Singapore. 

We booked the family room and it was huge! Also the hotel is located in and excellent location. Staffs were friendly and helpful too. Will definitely stay here again!",Pleasant stay ”,Jestina from Brunei Darussalam
Stayed 5 nights in February 2017,Couple,"Reviewed March 04, 2017","Stayed in the hotel for 5 nights. The location is exceptional as it is very central along orchard rd surrounded by shoppings, entertainment and eateries. Would have been a 5 stars experience if not for the awkward and confusing separate check in for regular and corporate guests. We queued for 20 minutes and then found out that we had to go to the 5th floor for regular guests.",5 stars location ”,Nancy from Australia
Stayed 5 nights in February 2017,Couple,"Reviewed March 01, 2017",Mark down because of machine noise on floor 19 above our room?  Loud enough to disturb our sleep.  Not what we expdcted from a prestige hotel.  In every other aspect however - excellent.  The location is choice for a short stay.,Exceptional”,Alexander from Australia
Stayed 3 nights in February 2017,Family with young children,"Reviewed February 26, 2017","Mandarin orchard are very nice hotel, oir rome are in the main wing, very modern room, the hotel location superb, just in the heart of orchard road, and also i like the unlimited free phone witch we can call our country for free. Thx mandarin orchard for make our stay fabulous",Very nice hotel”,Ashar from Indonesia
Stayed 1 night in February 2017,Couple,"Reviewed February 23, 2017","I booked a room for this hotel to celebrate anniversary and valentine day with my girlfriend and the hotel arrange the room with roses on the bed and a cake for our anniversary without me knowing beforehand. The room was great,clean and staff were friendly and nice. Overall,this hotel is awesome to stay in be it for business or causal stay. Buffet breakfast was great,location is great. Basically anything you need for a stay,this hotel has it.",Awesome stay at the hotel”,Jeff from Singapore
Stayed 2 nights in February 2017,Group,"Reviewed February 23, 2017","Hotel is near Takashimaya and Ngee Ann city, one of the best location in Singapore. Clean room with multi-head electricity sockets and free to use smartphone. Nice and polite front staffs but some kitchen staffs at breakfast cooking station were unfriendly. ","Nice, clean and convenient ”",Grida from Thailand
Stayed 3 nights in February 2017,Family with young children,"Reviewed February 22, 2017","Excellent location and there's a great place for brunch (Wild Honey) in the complex the hotel is in. The aircon was a little annoying - really cold in public areas and not working properly in the rooms. The decor is a little dated and the bar was very expensive (but Singapore generally is). Overall, it's a good hotel","Good location, though a little dated and buggy”",Richard from United Kingdom
Stayed 2 nights in January 2017,Business traveler,"Reviewed February 19, 2017","It was my first visit to Singapore so needed something centrally located. 
It was an excellent experience, hotel and location are great.
Around 40 minutes drive from the airport, could be longer during the rush hour.",Booked hotel one hour prior to landing ”,Khalid from United Kingdom
Stayed 3 nights in January 2017,Family with teens,"Reviewed January 30, 2017",Stayed on 27th floor.. awesome view. The room is clean and bed is so comfortable ..bathroom great and spacious. Hotel provides smartphone which we can use free of charge to surf and make calls local/international.,Great location for shoppers ”,saharudin from Malaysia
Stayed 2 nights in January 2017,Group,"Reviewed January 28, 2017","Stayed here to see Metallica in SG. I was able to maximize my time to hang out with my friend and see two movies. Chatterbox is amazing. Can't wait to visit it again. For in room dining, the local fare is delicious. The other dishes were average. ","Great location, excellent food”",Hiyasmin from Philippines
Stayed 3 nights in January 2017,Group,"Reviewed January 25, 2017","This is my 3rd time stay here, and as usual the location is excellent and reliable.
The service & facilities are better than my previous time. We got offer for upgrade with a little extra payment - and with good explanation about the room etc. for me to make a good decision; and I got offer to use the Express Checkout which is very useful considering queuing during check out usually really takes time here. 

Other new facilities that was not available during my last stay in end of 2014: now the hotel provide us with a smartphone which we can use it to make short international call home. Wow, really helpful for stay in touch with family. Great.","Top location, as always + better service”",DYAH from Indonesia
Stayed 3 nights in January 2017,Family with teens,"Reviewed January 24, 2017","My family room was very comfortable. Two King single beds and one king size double with the best cushions I have ever seen. Bed cushions were enormous and quite stuffed so they were our favourite room item. It made our experiences even more special. The 6 head body shower was also superb.
Location is too good to be true.  Unbeatable for Orchard Rd in my opinion.  Breakfast was 5 star and abundantly stocked with every option you can think of.
This hotel truly lived up to it's high expectations and yes I would stay here again for sure. ",Rooms are grand and much larger than anticipated. Beautiful beds.”,walter from Australia
Stayed 3 nights in March 2016,Business traveler,"Reviewed January 18, 2017","The hotel has great location and it attached to a small shopping center that has a lot of local designer shops and nice restaurants and cafe. The restaurant of the hotel is not questionable, it has one of the best Hainan Chicken Rice in Singapore.",Great Location”,Alexandro from Indonesia
Stayed 3 nights in December 2016,Family with young children,"Reviewed January 09, 2017","Our second stay at the hotel and equally enjoyable. This time we managed to get a higher floor in the new wing which had a better view of the city skyline. Service was fantastic.
Location in the middle of Orchard Rd was very convenient for shopping eating and catching metro. ",Great hotel in a desirable location.”,Ranit from Australia
Stayed 1 night in December 2016,Family with teens,"Reviewed January 03, 2017","New Year's breakfast overcrowded, have to queue to get the table, finally have to move to upper floor with less variety of meals. Room is too small for adding the extra bed. TV channel also was not running at all. Old and New count down party was great.",Old and New in Mandarin Orchard”,Victor from Indonesia
Stayed 3 nights in December 2016,Family with young children,"Reviewed December 27, 2016","My mother cannot walk far due to knee issue. Staying in Mandarin Orchard helped a lot where some major shopping sites are at the vicinity. 

Staff were utterly helpful.
Late checking out was allowed only until 12.30 due to the crowd season.

Spacious room allowing up to young children below 12 years of age to stay. 

Great foods are everywhere near the hotel. :)",Location is a gem”,DASDO from Indonesia
Stayed 3 nights in November 2016,Solo traveler,"Reviewed December 21, 2016",The hotel was full but check-in and check-out were a breeze -- thanks to helpful staff specifically Diane who assisted me in the process.  Location is perfect whether you intend to go shopping in Orchard or explore beyond the area as it is quite near the MRT station. ,Warm and friendly staff”,Toni from Philippines
Stayed 3 nights in December 2016,Family with young children,"Reviewed December 13, 2016","great location for shopping and food but our room feel uncomfortable to sleep due to noisy sound from next room i.e. we can hear people flashing the water toilet  and even the pressure of water movement also can hear. this thing really uncomfortable during our sleep time from midnight to early morning,especially our room no.2841.",best location in the iconic orchard road for food and shopping. ”,jimmy from Malaysia
Stayed 2 nights in October 2016,Family with young children,"Reviewed December 06, 2016",We reserved family suite for 2 nights. I took my parents and a 2 year old nephew there. The room is quite big and has a perfect size for everyone. The location is right at Orchard Rd. where you can find pretty much everything and can go anywhere since there's the MRT station nearby. ,Great location/ good facilities”,Rerngchai from Thailand
Stayed 2 nights in November 2016,Couple,"Reviewed December 03, 2016","Staying at the Mandarin Orchard Hotel places you in great proximity to the best shopping you could find! The street is fabulously decked out for the holidays which really puts you in the holiday spirit! Close to all modes of transportion, restaurants and even the Singapore Visitor Information Centre, you will find this a very central location to so much! ",Perfect Location for Shopping and the Holidays!”,Reagh from Canada
Stayed 3 nights in November 2016,Couple,"Reviewed November 19, 2016","Right in the middle of Orchard road, makes shopping a breeze and being so closely located to the mrt makes getting around the city easy. Clean and modern, no complaints about the facilities. Most definitely stay here again next time I visit Singapore.",Convenient and clean”,Mark from Australia
Stayed 1 night in November 2016,Family with young children,"Reviewed November 18, 2016","The lady in the reception was really professional and she has offered upgrade since she knew we have small kids and usual room does not have a king size bed which we requested before. Furthermore, she even offered 1 hour extension of check out time which she knew we have only limited time in Singapore to explore. These all professional attitude makes people happy !!",Good Service”,Tatsuro from Myanmar
Stayed 1 night in November 2016,Couple,"Reviewed November 14, 2016","The hotel is located along Orchard Road and very convenient to be accessed to every where. Room is clean and comfortable, staffs are friendly and helpful. However, the swimming pool is rather small for us to swim and chill around. Also the gym is located at main tower when our room is located at another wing. It is really good experience with the hotel and hospitality that we received during the stay, but there is not much to do in the hotel itself.",Luxury Hotel in Orchard”,Hui from Taiwan
Stayed 2 nights in November 2016,Couple,"Reviewed November 11, 2016","When checking in, we had to wait for quite some time until the room  was ready. I guess the hotel was quite fully occupied. The staff were quite friendly and helpful. Very nice breakfast, much to choose. The room was quite roomy and comfortable. One thing about the toiletries, the toothpaste that came with the toothbrush tasted a bit weird. The shampoo, bathfoam, body lotion, also did not smell quite nice for such 5 star hotel. Location perfect. Overall, we had a nice pleasant stay. ",Quite a pleasant stay”,Nurhasanah from Indonesia
Stayed 3 nights in October 2016,Couple,"Reviewed November 03, 2016","Our problem was the comfort of the bed and pillows. The bed was hard, much too hard for both of us.
We actually stayed in 2 rooms because the first night we had a room directly above Orchard, where they were installing the Christmas lighting, the workmen were working until 4.00 am, the noise was terrible (not the fault of the hotel). We complained about the noise and were moved into another room, the staff were very helpful. The first room had a king size bed, the second was twin beds both types of bed were incredibly uncomfortable, however, to be fair if you like a firm bed it will be great for you.
It is one of the first times that I have stayed at a hotel of this quality and been delighted to go home!!
I have marked a middle of the road score for value for money purely because we could not sleep. Location is excellent if you are looking for shopping.",So uncomfortable”,Robin from United Kingdom
Stayed 3 nights in October 2016,Family with teens,"Reviewed November 02, 2016","location is great near somerset and orchard mrt, bus station accross the street, easy access to taxi at the lobby.
friendly and attentive staff always with a smile.
 lots of choices for breakfast but just ok. american, asian, and for those on a diet.
rooms were big, with soft pillows and comfortable beds giving you a good nights rest after a long day of shopping.
fast check in and check out.
all in all we enjoyed our stay at this hotel in singapore",nice hotel nice location friendly and attentive staff”,Fritzie from Philippines
Stayed 1 night in October 2016,Group,"Reviewed October 16, 2016","Staff at the reception were all very attentive; mindful of guests who needed assistance. One staff, Elvie- stood out in terms of answering questions re hotel facilities and transport around the city. Housekeeping staff gave prompt service. Every request was positively attended to. ",Attentive staff; customer is always given priority. ”,Cecilia from Philippines
Stayed 6 nights in October 2016,Family with young children,"Reviewed October 12, 2016","Excellent location - close to shopping, multitude of food options, not far from Aunty's laundry ($50 for up to 5Kg and will deliver back to Mandarin Orchard). Wild Honey on level 3 Mandarin Gallery serves a good quality coffee ($6.95 for one size only - equivalent to small flat white in Australia). There was a stuff up with the room keys and allocation initially (we arrived at 07:15 on o/n flight) and had to return to reception 3 times. Staff were apologetic rang to ensure we got the right room and sent up chocolates and fruit. Checking in and out was smooth. ",Enjoyed our stay and will be back”,Cindy from Australia
Stayed 2 nights in October 2016,Business traveler,"Reviewed October 10, 2016","Pros: 
- Location right in the heart of Orchards makes it very convenient for shopping and dining.
- Friendly staff 

Cons:
- Stale smell in the old rooms
- Bathroom floor flooded after shower as water leaks out very badly.
- Lack of hand bidet makes it very inconvenient.
",Great location but the rooms eventhough some already refurbished can be further improved.”,Douglas from Malaysia
Stayed 4 nights in September 2016,Couple,"Reviewed October 03, 2016","Booked on agoda, 874 US dollars for 4 nights.  That's close to $220 a night.  Thought I would be getting a 5 star hotel experience.  more like 4 star.  They tried to upsell me when I checked in.  I thought 220 a night was enough to pay.  No bellhop helping with my bags.  Room was small.  ""King sized"" bed was just two twin beds pushed together with a king sized sheet over it.  you could feel the uneven border between the two mattresses.   Room has a nuisance feature: a stained glass window between the bathroom and the bedroom and no curtain to cover it up.  So when you get up in the middle of the night to use the bathroom, turning on the light in the bathroom illuminates the entire bedroom as well and disturbs your partner/spouse who may still be in the bed.   Free breakfast buffet was crowded and had to wait for a table.  There are two breakfast buffet restaurants and one was definitely better than the other.  When there were no tables in the superior restaurant, staff would try to shuffle you off into the inferior restaurant.   Otherwise, the staff were very good.   

I've seen better hotel rooms for this money in the heart of major Asian cities.  Perhaps I should try booking through expedia next time, or directly through the hotel.  Seems like the Agoda block of rooms are the least favorable.  ",small room”,david from Thailand
Stayed 2 nights in July 2016,Solo traveler,"Reviewed September 30, 2016","I have been to Mandarin hotel many times. 
It has always been a pleasant experience for me. 
Taking a taxi to the famous Hawker at Newton circus is also very near. 
Eating and shopping is not an issue at all. 
Always a great stay in Singapore. ",2days in Singapore ”,Tang from Singapore
Stayed 2 nights in March 2016,Couple,"Reviewed September 30, 2016","There is a Paragon medical centre and Mount Elizabeth hospital within walking distance. It is very convenient if this is a medical checks trip. Also, nearby the hotel,there are lotsa food. Everything is so convenient, you just walk. ",Great location if you are on a Medical trip”,Tang from Singapore
Stayed 3 nights in September 2016,Couple,"Reviewed September 30, 2016","Me and my wife have tried most of the hotel near the Orchard road and we still feel that Mandarin hotel is one of our favourit. Great location, many nice restaurants just below the hotel. Room, bed and the shower place very nice.
Best of all Mandarin hotel also provided us a free hand phone which we can use to call local and international free of charge while staying there. 
Will surely stay at Mandarin hotel again on our next visit.",One of the best value for money hotel in Orchard road.”,Andy from Indonesia
Stayed 1 night in October 2015,Business traveler,"Reviewed September 29, 2016","Nice hotel. It was a pleasant stay, especially its pretty surprising that the hotel gave us smartphone to be used around Singapore and call overseas for free. Moreover, the location of the hotel is right in the middle of Orchard Road. So convenient. ",nice hotel at the nice location”,Henky from Indonesia
Stayed 3 nights in September 2016,Business traveler,"Reviewed September 26, 2016","I have stayed at the Mandarin Orchard quite a few times following the renovation some years back. There are two different wings and the rooms are fairly large by today's standards. The carpet is looking a little tired now in the room, and the hallways are quite dark, but other than that, the room is very good. The property is now offering a free hand phone in every room with free international and local calls as well as surfing. A very nice feature and something I have not seen before in a hotel.

The service at the Mandarin Orchard is excellent. Even the older employees in the restaurant are mostly sweet and supportive and cannot do enough for you.

The location is very central and you can easily walk to a variety of shopping locations as they are only a few steps a way.

The ""pad for"" breakfast is good, but it is not great. The scrambled eggs are runny, and most importantly, cold. The Chinese fried rice is also cold, Dum Sum options are very local, and bread selection is a disappointment. Sorry to say, you will find a better breakfast in most five star hotels in Jakarta. Despite the cold food, it is ample and you will not leave hungry. 

I did try the Japanese and Seafood buffet one evening and I must say that it was excellent. They offer a wide array of chilled seafood - most notably Alaskan Snow Crab which is not easy to find in SE Asia! Very pricey at S$ 88, but if you are a guest in the hotel, they offer a 20% discount. Though it is expensive, it is worth the splurge if your in the mood for chilled seafood and Japanese food.

Considering the price of the hotel, the location and the overall good service, I do recommend this property as a very good option for upper medium price properties.",Singapore Jewel”,Brian from Indonesia
Stayed 2 nights in September 2016,Couple,"Reviewed September 11, 2016",Breakfast was disappointing for a 5 star hotel. Felt more like a canteen than a restaurant. Tables very close together and close at 10am is unecessarily early and strictly applied - wanted to charge me for coffee at 10.10. ,Excellent”,Stuart from United Kingdom
Stayed 4 nights in August 2016,Group,"Reviewed September 08, 2016",The hotel is clean and location is very good and convenient.  It is very near many shopping malls. It also provides free handy phone which you can use to call local and international calls. I will definitely  recommend  this hotel to my friends and stay here again in my next visit.,Worth the stay”,Arlene from Philippines
Stayed 2 nights in August 2016,Couple,"Reviewed August 31, 2016","Location was perfect and convenient. If you are driving, the hotel provides free parking. Breakfast was average and ok for a 5 star hotel.  Rooms were comfortable...we had a perfect view of marina bay. 

Would recommend if you want to be right in the middle of orchard road. ",Pleasant stay”,Jamie from Malaysia
Stayed 3 nights in August 2016,Family with young children,"Reviewed August 28, 2016","Good location.... Friendly staff and the quality of service and attention to detail are top notch. The complimentary smart phone was of great use with purchasing tickets at USS, Singapore Zoo, River Safari, Midnight Safari & Gardens by the bay as well as navigating through the city. We really enjoyed our stay & highly recommend this hotel. ",Good Location & Great Breakfast”,Sandralyn from Philippines
Stayed 2 nights in August 2016,Family with young children,"Reviewed August 24, 2016","By staying at the hotel bring back old memories...  We used to come as kid with our parent,  but now we are here with our kids.  Service,  food n environment still the same and improved to greater level.  ",Great location and excellent facility”,WONG from Malaysia
Stayed 9 nights in August 2016,Couple,"Reviewed August 21, 2016","Travelled to Singapore with my sister and stayed for ten days at the Mandarin orchard hotel.  Just got back.  Right from the moment we arrived early,  the staff was extremely polite and understood that we were tired.  Easy check in and service. 
Will be going again next year 
Can't think of any cons as of now. 
Thanks to the courteous staff of the hotel ",Exceeded expectations ”,Uma from India
Stayed 4 nights in August 2016,Business traveler,"Reviewed August 19, 2016","The location is very convenient for shopping and it's not too far from the tourist spot, easy to travel.
The staffs were not friendly and the porter seemed to ask the tip.
It's hard to adjust the tap at the suitable temperature. My room used up the water but they don't supply more.
It's expensive and overated for 5 star.","That's fine, not excellent”",Ngoc from Vietnam
Stayed 5 nights in August 2016,Couple,"Reviewed August 18, 2016","Staff service is excellent from the taxi stand through to the reception. The only let down was on one occassion the staff did not change the bedsheet eventhough it was stained and dirty and I had to call concierge to ask for it to be changed. Otherwise the hotel is modern, clean, central and easy access to all major attraction on Orchard Road.",Impeccable standard right in the middle of buzzling Orchard Road”,Phu from Australia
Stayed 1 night in August 2016,Family with young children,"Reviewed August 17, 2016","I requested for early check in n was upgraded to orchard wing with add charges, which i didnt mind but turned out there's no long couch so within 15mt, I requested to swich room back to main tower which has long sofa in each room, but was a bit dissapointed cos my booking was for a non-smoking room at the first place, but they gave me a smoking room with reason all rooms were fully booked. Lucky a spray of perfume can banish the smell inside the room but cant do much with the odor in the hallways. Anyway still love the location n the breakfast.",Helpful staff”,Halim from Indonesia
Stayed 3 nights in August 2016,Family with young children,"Reviewed August 11, 2016","Jacky at Chatterbox, very good service throughout our (5 of us) stay. 
The luggage collection at the taxi section needs improving as it takes almost 30 minutes to get our luggages.
Overall rating will be good all the way",Very good”,YAP from Malaysia
Stayed 1 night in July 2016,Solo traveler,"Reviewed August 05, 2016","The rubbish bin in the toilet was not emptied when i checked in.
The feedback card by the previous occupant was still there beside the phone.
There was already an access card on the slot and tv was on. I believe the card was for the occupant before me.
",Good”,Yoke from Malaysia
Stayed 3 nights in July 2016,Family with young children,"Reviewed August 02, 2016","The location of the hotel is great. Very close to the different malls on Orchard Rd. Although chat support experience of Mandarin prior to check-in was very unpleasant, the email support made up for the bad experience. It got even better as soon as we checked in as the reception staff were all very accomodating and very professional. They also go above and beyond to exceed customer expecatation and give their guest a great experience. Kudos to Lowrie and Diana who helped me with the check-in/check-out. The experience in this hotel was amazing!",Great Hotel Staff”,Angela from Philippines
Stayed 2 nights in July 2016,Couple,"Reviewed July 29, 2016","we went there at 12 checked in at 9:30 evening .
when we go to breakfast my colleuge wait 10 mins to to get a omelet and came back without it because he don't want to serve. but he never serve the omelet. the staffs are like millioners. they can't handle the hotel . my advise is to boycott this hotel. its called racism.",bad experience first time in Singapore. a type  of racism ”,Mamdhoh from Maldives
Stayed 5 nights in July 2016,Business traveler,"Reviewed July 21, 2016","The location is great and really centralized, very near somerset MRT and walking distance to ION Orchard and Orchard MRT. Every thing is great, except the check-in and breakfast. There s no physical place to queue for check in and out, so pp just stand randomly anywhere and it looks quite chaotic. And even though there are quite a lot of staffs at the counter, but i don't know why it takes so long for each guest group to check in. Be prepared that during peak season you may need to queue quite long. Breakfast: i did expect that there are more variety choices  for breakfast, as the hotel is so big and the cost to stay here is not cheap. But it turn out not as wow as i thought, it's quite boring actually. you can find all the basic stuffs like sausages, baked tomato, bacon, egg counter, ham, bread, etc. there is a noodle counter which provide different kind of noodle every day and you won't even wanna try when you look at it, it looks really not delicious. The Chinese counter always have 3 dishes: 1 sweet and 1 savory buns and 1 kind of dumpling, and i must say the dumpling is really bad. After 5 days stay there, i can only take the breakfast for 3 days as it's almost same things everyday. But my overall experience is very good. Next time if i stay here i won't book the room with breakfast anymore.",Very nice hotel and great location”,Junnie from Vietnam
Stayed 3 nights in July 2016,Family with young children,"Reviewed July 20, 2016","Such a perfect hotel with great location, walking distance to all tourist hot spots. Great services from staffs and good choices of breakfast buffet. Only one disadvantage is the pool is boring and small.",Perfect location”,Quoc from Vietnam
Stayed 4 nights in May 2016,Couple,"Reviewed July 16, 2016","aircons in room don't work properly and the bell boy took almost 45 minutes to come get our bags, i was about to get a trolley to wheel our boxes down-  when lost our reserved taxi and there were two other bellboys hanging out having a chit chat where the taxis were.. so no they were not as busy as they claimed. early morning check out was not busy at all . ",dissapointing”,Jacqueline from Brunei Darussalam
Stayed 4 nights in May 2016,Family with young children,"Reviewed July 15, 2016","It is located in the middle of the busy orchard road so it considered convenient if you are planning to shop around orchard road and also to take the MRT. However, as mentioned, it is a bit too pricey. We booked 2 rooms and requested a twin bed for one of it, but they could not provide us with it. Also, we have booked a connecting room. However, once the doors are closed, you have to ask the staff to open it again which is really inconvenience. The lobby and rooms are located in a shopping mall. So you need some time to find the entrance and lifts that can connect to your room. Other than that, it was an awesome stay.",Good location but too pricey”,Nathan from Malaysia
Stayed 1 night in July 2016,Solo traveler,"Reviewed July 11, 2016","Mandarin orchard hotel all about the location. room about outdated, the shower system from my past experience already getting oldand shower head and water pressure getting slow and even not working. I do not think the value of money worth it, so I will definitely look for others hotel at same area as well.",only location”,KOK from Malaysia
Stayed 4 nights in June 2016,Family with young children,"Reviewed July 09, 2016","It did not take the pleasant and polite receptionist too long to check us in. Rooms were made up and cleaned daily. Very good since we had a toddler in diapers with us. Beds and pillows were comfortable. Everyone slept quite well. Location wise it was perfect for us. Convenient to go to major shopping malls all within walking distance. Also easy to get taxi if you require one. Very fast checkout early in the morning. Unfortunately no one came up to carry our luggages before checkout even though we rang them several times. So we had to bring everything down to lobby ourselves after half an hour of waiting. Apart from this,it was a pleasant stay. ",Irene C. ”,Irene from Brunei Darussalam
Stayed 2 nights in June 2016,Couple,"Reviewed June 20, 2016","Mandarin Orchard ticks all the boxes! The room was clean and well appointed. The hotel is conveniently positioned and Orchard Road is easily accessible. We accidently left our passports in the safe when we checked up and when we discovered we were sans passport, a quick phone call to the hotel reception put us at ease. They found our passports and kept them safely for us.  ",Great all rounder”,Janine from Australia
Stayed 5 nights in June 2016,Business traveler,"Reviewed June 18, 2016","I stayed in Mandarin Orchard many times for business before as I like the central location and nice service. However, I was shocked to see the deteriorated amenities in the bathroom this time, in particular the toothbrush and shower cap were of poor quality in the worst packaging that I've ever seen in a hotel. I don't think a 5-star hotel should save costs in such area. Eventually I had to use my own toothbrush and shower cap. Bad impression!",Deteriorated amenities ”,JOANNE from Hong Kong
Stayed 1 night in June 2016,Family with teens,"Reviewed June 06, 2016",Have stayed in Mandarin Orchard a couple of times and I'm never disappointed. Location is great for shopping and dining from the wide array of dining options. In addition the mrt train station is a 5min distance walk away. ,Great location”,Lee from Singapore
Stayed 4 nights in May 2016,Solo traveler,"Reviewed June 05, 2016",The doorman in red is the only constant welcoming sight on arrival and very helpful. I never had the chance to thank him properly. He's the unappreciated staff. He even does the jobs of bellboys and porters sometimes.,Staff sometimes forget things arranged eg they forgot about delivering papers to my room daily as arranged on checking in. They also forgot to book my taxi to the airport as arranged the day before. O”,Kok from Brunei Darussalam
Stayed 1 night in May 2016,Solo traveler,"Reviewed June 02, 2016","I have one day leisure stay before moving to another hotel for a conference. Mandarin  Orchard never fails to disappoint. Check-in / check-out was switf. Location is perfect. I was upgraded to a nicer room at the 28th floor. Breakfast was good. Everything worked. 
If you are traveling to Singapore to shop, this is the best and most convenient hotel to stay.",My go-to hotel in singapore”,Brenda from Philippines
Stayed 1 night in May 2016,Family with teens,"Reviewed June 02, 2016","We requested 3 non-smoking rooms with twin beds when we booked. Upon check-in, one of our requests couldn't be met, so our room was upgraded at no extra cost. Another room smelled like smoke & was immediately changed & upgraded as well. We were attended to respectfully, promptly, efficiently, and professionally. Couldn't ask for a better location..right next to 2 MRT stations & within walking distance to the major shopping malls on Orchard Rd.",Accommodating staff & great location”,rose from United States
Stayed 6 nights in May 2016,Family with teens,"Reviewed May 30, 2016","Location was the main reason why we choose this Hotel. It is smack bang in the middle of Orchard road, next to great shops and restaurants. We booked a premier room as it is larger than the rest of the room option. The room looks like it has been refurbish, everything looks new. Bathroom was big and lush. The downside is mainly on guest service. We called housekeeping and front desk a couple of times, and both times no one picks up. Concierge was full of attitude when we want to book a cab and ask for the cab number (it is Saturday afternoon, and slightly chaotic with very long queue for taxi). Other than that, it was a pleasant stay. ","Great Room, Awesome Location, Mediocre Service”",Azalia from Indonesia
Stayed 1 night in May 2016,Family with teens,"Reviewed May 23, 2016","We enjoy our stay in Mandarin Orchard. The location is perfect for shopping as it is located in the middle of Orchard Road. There are many shops and great foods nearby. 

Hotel itself is spacious and clean. We need room for 3 person, and there were some offers for $1 extra bed, so this saved a lot of money compared to other hotel in Orchard Road. 

Very recommended and will stay here again in the future",Great location”,Noviyanti from Indonesia
Stayed 1 night in May 2016,Couple,"Reviewed May 21, 2016","our stay in the hotel was fantastic, quiet and clean, the staff was very accommodating, we enjoyed the food it was delicious, the cocktail was very good. the hotel is accessible. if given the chance to visit Singapore I would love to stay in the hotel again and it is highly recommended to other tourist.",my experience in mandarin hotel at orchard”,Ma. from Singapore
Stayed 2 nights in May 2016,Business traveler,"Reviewed May 21, 2016","1) the water system is working poorly only boiling hot water coming out
2) hotel staff kept reminding me to check out asap 
3) i stayed at club room and was told to wait in my room for luggages pick up to check out but no one came
4) front desk ladies were not helpful and just rushing to do everything and ignore the poor services they deliver
5) was given two cards only one card worked and one of the cards can't access club lounge 
6) rooms are old not worth to pay more for the club room
7) poor staff attitude ",worst stay in a 5 stars hotel ever”,Lo from Hong Kong
Stayed 3 nights in May 2016,Group,"Reviewed May 09, 2016","It's a very worth it holiday break with the kids and families. The hotel provided us with connecting rooms, as per our request. This made my daughter and her cousin very happy - play all day, without having to go out of the rooms.
Didn't try the foods there, wish we could have had breakfast but with the busy and pact schedule, we could not afford the time. ",4 Days Break”,PUTRI from Indonesia
Stayed 3 nights in May 2016,Family with teens,"Reviewed May 08, 2016","The only bad thing to me is when I put my luggage in conceirge at 5/F, i dont know why my luggages all go to ground floor without telling me. I have waited a period of time to take my luggage back and I was rush to airport",Friendly staff Clean Room”,Wing from Hong Kong
Stayed 2 nights in May 2016,Couple,"Reviewed May 04, 2016",waited long time after checked in @ 2.45pm. reception only say sorry room is not ready waiting for final checking by housekeeping. left hotel and return ard 5pm still hv to wait for reception key cutting. totally not prepared even we hv checked in & done all formality earlier!!!!,very slow reception”,Sze from Malaysia
Stayed 2 nights in May 2016,Couple,"Reviewed May 04, 2016","room was not ready when we arrived at hotel 2.45pm
we left for shopping and return around 5pm, still room key is not prepared and need to wait sometime for key cutting. disappointed for 5 star hotel in Singapore!!!",room not ready!”,Sze from Malaysia
Stayed 4 nights in April 2016,Family with young children,"Reviewed May 03, 2016","The location is perfect for shopping, rooms were very comfortable even with 2 children. It's very clean but bathrooms can be cleaner - a little more scrubbing on the showers. There are many guests so you need to be at breakfast before 9am or else the line to get a table will be quite long. ",Central location makes for a very busy hotel”,Gabriel from Philippines
Stayed 2 nights in April 2016,Couple,"Reviewed April 27, 2016","I did not see anything fantastic about the hotel especially when you pay that price. Staff were not flexible and not willing to give a late checkout, nothing in the room to make a stay enjoyable especially after we pay for the upgrade, it's just a normal hotel in a good location. ",Just Fair”,Djaffar from France
